,product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,id_web,total_sales,product_type,post_type,z_score,ca_par_article,part_ca,cumsum_ca,part_quantite,cumsum_quantite,rotation_mensuelle,mois_de_stock,valorisation_stock_euros,prix_vente_ht,taux_marge
612,4142.0,1.0,53.0,125.0,instock,32.15,11641,4.0,Champagne,product,0.7488790978700584,212.0,0.0014755000866508304,0.5614302189377653,0.0006955312119631368,0.9673100330377296,4.0,31.25,4018.75,44.16666666666667,0.2720754716981133
521,6126.0,1.0,135.0,138.0,instock,80.33,14923,5.0,Champagne,product,3.7202884414883886,675.0,0.004697936596647691,0.06442089057566079,0.000869414014953921,0.8958442010085212,5.0,27.6,11085.539999999999,112.5,0.2859555555555556
626,4356.0,1.0,51.6,81.0,instock,31.0,12585,3.0,Champagne,product,0.6981477188326722,154.8,0.0010773934594978706,0.7651943449371205,0.0005216484089723526,0.9751347591723152,3.0,27.0,2511.0,43.0,0.27906976744186046
544,4348.0,1.0,59.0,125.0,instock,34.76,12586,5.0,Champagne,product,0.9662992937445702,295.0,0.0020531722903867687,0.33214620535481243,0.000869414014953921,0.9158407233524606,5.0,25.0,4345.0,49.16666666666667,0.2930169491525425
656,4148.0,1.0,37.5,71.0,instock,21.88,1364,3.0,Champagne,product,0.18721025852756906,112.5,0.0007829894327746153,0.9255832923278867,0.0005216484089723526,0.9907842114414871,3.0,23.666666666666668,1553.48,31.25,0.29984000000000005
562,4357.0,1.0,39.0,115.0,instock,22.3,9562,5.0,Champagne,product,0.24156530749619706,195.0,0.0013571816834759998,0.6235564284824415,0.000869414014953921,0.9314901756216305,5.0,23.0,2564.5,32.5,0.31384615384615383
569,4144.0,1.0,49.0,91.0,instock,27.73,1662,4.0,Champagne,product,0.6039323006203837,196.0,0.0013641415895451075,0.6153959386164128,0.0006955312119631368,0.9374021909233169,4.0,22.75,2523.43,40.833333333333336,0.3208979591836735
459,5025.0,1.0,112.0,136.0,instock,68.6,13914,6.0,Champagne,product,2.8868443573027593,672.0,0.004677056878440369,0.06909794745410117,0.0010432968179447052,0.8323769779168865,6.0,22.666666666666668,9329.599999999999,93.33333333333334,0.2650000000000001
389,4350.0,1.0,79.5,145.0,instock,47.3,12588,7.0,Champagne,product,1.709151629649153,556.5,0.00387318772745843,0.10275814117612668,0.0012171796209354895,0.7475221700573843,7.0,20.714285714285715,6858.5,66.25,0.2860377358490567
495,4150.0,1.0,59.0,123.0,instock,35.45,1366,6.0,Champagne,product,0.9662992937445702,354.0,0.0024638067484641225,0.23293483231150314,0.0010432968179447052,0.8699356633628951,6.0,20.5,4360.35,49.16666666666667,0.2789830508474576
