product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,product_id_raw,id_web,id_web_raw,sku,sku_raw,total_sales,product_type,post_type,post_title,web_match_status
3847,1,24.2,16,instock,12.88,3847,15298,15298,15298,15298,6.0,Vin,product,Pierre Jean Villa Saint-Joseph Préface 2018,both
3849,1,34.3,10,instock,17.54,3849,15296,15296,15296,15296,9.0,Vin,product,Pierre Jean Villa Saint-Joseph Rouge Tildé 2017,both
3850,1,20.8,0,outofstock,10.64,3850,15300,15300,15300,15300,0.0,Vin,product,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,both
4032,1,14.1,26,instock,6.92,4032,19814,19814,19814,19814,12.0,Vin,product,Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018,both
4039,1,46.0,3,outofstock,23.77,4039,19815,19815,19815,19815,3.0,Vin,product,Pierre Jean Villa Côte Rôtie Carmina 2017,both
4040,1,34.3,12,instock,18.25,4040,15303,15303,15303,15303,7.0,Vin,product,Pierre Jean Villa Saint-Joseph Saut De l'Ange 2018,both
4041,1,32.7,12,instock,17.57,4041,14975,14975,14975,14975,6.0,Vin,product,Pierre Gaillard Condrieu 2018,both
4042,1,31.2,15,instock,15.48,4042,16042,16042,16042,16042,8.0,Vin,product,Pierre Gaillard Cornas 2017,both
4043,1,60.0,0,outofstock,29.45,4043,14980,14980,14980,14980,0.0,Vin,product,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,both
4045,1,42.6,5,instock,22.01,4045,16041,16041,16041,16041,3.0,Vin,product,Pierre Gaillard Côte Rôtie 2018,both
4046,1,80.0,2,instock,40.92,4046,15269,15269,15269,15269,2.0,Vin,product,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,both
4047,1,18.3,0,outofstock,9.93,4047,14977,14977,14977,14977,0.0,Vin,product,Pierre Gaillard Côtes-du-Rhône Blanc Les Gendrines 2018,both
4048,1,22.8,24,instock,11.78,4048,16044,16044,16044,16044,12.0,Vin,product,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,both
4049,1,19.3,25,instock,10.27,4049,16043,16043,16043,16043,10.0,Vin,product,Pierre Gaillard Saint-Joseph Rouge 2018,both
4050,1,21.8,42,instock,11.26,4050,16449,16449,16449,16449,12.0,Vin,product,Pierre Gaillard Saint-Joseph Blanc 2019,both
4051,1,7.7,0,outofstock,4.14,4051,16045,16045,16045,16045,0.0,Vin,product,Jeanne Gaillard IGP Collines Rhodaniennes Syrah Terre de Mandrin 2018,both
4052,1,33.7,0,outofstock,18.11,4052,16030,16030,16030,16030,0.0,Vin,product,Clos du Mont-Olivet Châteauneuf-du-Pape Blanc 2019,both
4053,1,44.3,7,instock,22.2,4053,13127,13127,13127,13127,5.0,Vin,product,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,both
4054,1,71.6,6,instock,38.47,4054,19816,19816,19816,19816,3.0,Vin,product,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,both
4055,0,86.1,0,outofstock,37.88,4055,,,,,,,,,left_only
4056,1,12.7,38,instock,6.36,4056,16029,16029,16029,16029,11.0,Vin,product,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,both
4057,1,8.7,29,instock,4.36,4057,16039,16039,16039,16039,14.0,Vin,product,Mourgues du Grès Costières de Nîmes Galets Dorés 2019,both
4058,1,8.7,39,instock,4.72,4058,16318,16318,16318,16318,13.0,Vin,product,Mourgues du Grès Costières de Nîmes Galets Rouges 2019,both
4059,1,8.7,34,instock,4.32,4059,16275,16275,16275,16275,16.0,Vin,product,Mourgues du Grès Costières de Nîmes Galets Rosés 2019,both
4060,1,11.9,29,instock,6.33,4060,16498,16498,16498,16498,13.0,Vin,product,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,both
4062,1,11.9,30,instock,6.27,4062,16320,16320,16320,16320,9.0,Vin,product,Mourgues du Grès IGP Pont du Gard Terre d'Argence 2018,both
4063,1,14.5,33,instock,7.19,4063,16319,16319,16319,16319,12.0,Vin,product,Mourgues du Grès Costières de Nîmes Terre de Feu 2017,both
4064,1,14.4,32,instock,7.66,4064,15966,15966,15966,15966,10.0,Vin,product,Oratoire Saint Martin Cairanne Rouge Réserve des Seigneurs 2017,both
4065,1,19.5,0,outofstock,9.67,4065,15022,15022,15022,15022,0.0,Vin,product,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,both
4066,1,20.8,27,instock,10.42,4066,15967,15967,15967,15967,8.0,Vin,product,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,both
4067,1,22.0,22,instock,11.37,4067,15490,15490,15490,15490,7.0,Vin,product,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,both
4068,1,16.6,25,instock,8.92,4068,16416,16416,16416,16416,12.0,Vin,product,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,both
4069,1,60.0,4,instock,30.07,4069,11862,11862,11862,11862,3.0,Vin,product,Gilles Robin Hermitage Rouge 2012,both
